time	detection
2022-10-02 17:13:41	aeroplane
2022-10-02 17:14:41	aeroplane
2022-10-02 17:15:41	aeroplane
2022-10-02 17:16:41	aeroplane
2022-10-02 17:17:41	aeroplane
2022-10-02 17:18:41	aeroplane
2022-10-02 17:19:41	aeroplane
2022-10-02 17:20:41	aeroplane
2022-10-02 17:21:41	aeroplane
2022-10-02 17:22:41	aeroplane
2022-10-02 17:22:41	truck
2022-10-02 17:23:41	aeroplane
2022-10-02 17:23:41	truck
2022-10-02 17:24:41	aeroplane
2022-10-02 17:24:41	truck
2022-10-02 17:25:41	aeroplane
2022-10-02 17:25:41	truck
2022-10-02 17:26:41	truck
2022-10-02 17:26:41	truck
2022-10-02 17:26:41	aeroplane
2022-10-02 17:27:41	aeroplane
2022-10-02 17:28:41	aeroplane
2022-10-02 17:29:41	aeroplane
2022-10-02 17:29:41	truck
2022-10-02 17:29:41	truck
2022-10-02 17:32:41	truck
